"ensembl","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00010010126","ENSGALG00010010126",264.061355935712,-2.15961032627825,0.301843153521257,-7.15474345230147,8.38295489218656e-13,8.29200624231432e-09
"ENSGALG00010011798","ENSGALG00010011798",217.872463353373,-2.47798084874671,0.348732399776496,-7.10568002954375,1.19731517468982e-12,8.29200624231432e-09
"ENSGALG00010001032","ENSGALG00010001032",439.909600892218,-2.04472286604292,0.295715468926897,-6.91449410293917,4.69535940420092e-12,2.16784743691956e-08
NA,"PALM2AKAP2.1",1793.98911893136,1.33124093378843,0.197257855811379,6.74873468695403,1.49140015247495e-11,5.16434587798262e-08
"ENSGALG00010021525","ENSGALG00010021525",58.3037491844538,-2.89493277814846,0.465323622096915,-6.22133208089212,4.92951553690931e-10,1.36557439403462e-06
"ENSGALG00010019852","ENSGALG00010019852",1313.56278820008,1.34503333168004,0.252900776773797,5.31842309398316,1.04670445053872e-07,0.000241631722406864
"ENSGALG00010017238","ENSGALG00010017238",39.8864230616285,-2.87171433733482,0.554573111677,-5.17824300686146,2.23985352880235e-07,0.000443203017534877
"ENSGALG00010003742","ZFHX4",609.370047269922,1.60358154996419,0.312434710276048,5.13253328526578,2.85868152575602e-07,0.000494944972665583
"ENSGALG00010024208","SERPIND1",184.967748111376,-2.15097092656181,0.43194924262098,-4.97968444975193,6.36880288079386e-07,0.000947846113461091
"ENSGALG00010012385","ENSGALG00010012385",64.5095942197621,2.39469259242677,0.482240645137035,4.96576266761234,6.84316015783041e-07,0.000947846113461091
"ENSGALG00010022029","ENSGALG00010022029",28.6835642980016,-4.27588665292863,0.8812305061083,-4.85217729446504,1.22113381313857e-06,0.00153762949507112
"ENSGALG00010016220","ENSGALG00010016220",298.174225344149,-1.60432866810341,0.334546579985237,-4.79553151664025,1.62244057519551e-06,0.00187270203391942
"ENSGALG00010022660","METAP1D",4701.71908859705,-1.53498224970882,0.327505524925535,-4.6868896335652,2.77388454781494e-06,0.0029554672978296
"ENSGALG00010004019","ENSGALG00010004019",80.7952607509994,-2.25629548907793,0.485329386057267,-4.64899829661601,3.33550967118502e-06,0.00330001031825598
"ENSGALG00010008417","IGFBP1",49.8662069241268,-2.25253218972624,0.491964472058798,-4.57864808875268,4.67990781595908e-06,0.00432142687725662
"ENSGALG00010019823","LCT",78.8883872153155,-2.09326675442408,0.473119896491802,-4.42438961021449,9.67153414226719e-06,0.00837252621278393
"ENSGALG00010005966","PLXDC2",1195.63583999568,1.02718419492715,0.237045931186086,4.33327072853567,1.46910265927812e-05,0.00977316370183249
"ENSGALG00010008535","ENSGALG00010008535",51.035018327522,-2.31296992830347,0.535101775104216,-4.32248599409524,1.54280880164877e-05,0.00977316370183249
"ENSGALG00010022691","ASIC2",502.446743432412,1.36243519634531,0.315254417374608,4.32170057343357,1.54831213272983e-05,0.00977316370183249
"ENSGALG00010018386","ENSGALG00010018386",38.8920071209076,2.16271050924203,0.500928030604036,4.31740764563357,1.57872430069781e-05,0.00977316370183249
"ENSGALG00010025368","LRP1",181.66954101866,-1.3981223815936,0.324216303045739,-4.31231362661106,1.61555048482182e-05,0.00977316370183249
"ENSGALG00010018704","PGPEP1L",26.5445831832514,-3.03101167875884,0.703031913897773,-4.31134294025744,1.62266012300025e-05,0.00977316370183249
"ENSGALG00010000915","ENSGALG00010000915",52.6468548782595,-2.52489392234454,0.585643533942385,-4.31131528994723,1.62286307950435e-05,0.00977316370183249
"ENSGALG00010023532","ENSGALG00010023532",38.0662381691323,-2.38409426686405,0.555857999847046,-4.28903473102856,1.79451313049742e-05,0.0101111903487743
"ENSGALG00010008844","ENSGALG00010008844",1869.3251263367,-1.11439937630283,0.260550051883129,-4.27710287619785,1.89341315742283e-05,0.0101111903487743
"ENSGALG00010026216","ENSGALG00010026216",99.8751332384902,-1.77173536167176,0.414289367626628,-4.27656488464002,1.897992556986e-05,0.0101111903487743
"ENSGALG00010009277","ACTN4",49.1239056259229,-2.18818419930284,0.520399478442231,-4.20481628047163,2.61294315359319e-05,0.0129508530515881
"ENSGALG00010001202","CFTR",22.5857762918713,3.91004639353316,0.931581848421786,4.19721187156798,2.70221112764796e-05,0.0129508530515881
"ENSGALG00010000022","ATP8",154.595994152444,-1.54650471991843,0.3685285342915,-4.19643141851039,2.71153518515671e-05,0.0129508530515881
"ENSGALG00010018219","SLC24A5",157.389111014056,-1.58984196275098,0.38003217153356,-4.18344046067317,2.87130314326656e-05,0.0132568066124617
"ENSGALG00010000924","ENSGALG00010000924",257.702918641864,-1.57648741132443,0.378565520316622,-4.16437136167578,3.1221159310589e-05,0.0133176324874164
"ENSGALG00010011050","SYT10",2237.23143347899,1.21529785433414,0.292126529624531,4.16017626299179,3.18002079009539e-05,0.0133176324874164
"ENSGALG00010019960","ENSGALG00010019960",89.7309874252723,-2.02976795677473,0.488448664824823,-4.15553998392582,3.24520183678644e-05,0.0133176324874164
"ENSGALG00010014960","ENSGALG00010014960",87.1169760685901,-1.98737509008694,0.478440090134023,-4.15386404916491,3.26907446806842e-05,0.0133176324874164
"ENSGALG00010008967","ENSGALG00010008967",126.967981095233,1.70904714023704,0.413629159908586,4.1318342754528,3.59879856064272e-05,0.0142419882467035
"ENSGALG00010003256","ENSGALG00010003256",13.8371683224793,-4.47581081259437,1.08709136465554,-4.11723518198728,3.83444731599398e-05,0.0144035620525226
"ENSGALG00010003356","ENSGALG00010003356",203.009995557257,-4.54703872465369,1.10460320624024,-4.11644534341934,3.84760519777154e-05,0.0144035620525226
