Gene stable ID,Gene name,NCBI gene (formerly Entrezgene) ID
ENSGALG00010000202,,417008
ENSGALG00010000203,,
ENSGALG00010000204,,107049147
ENSGALG00010000205,RNF215,417009
ENSGALG00010000206,,
ENSGALG00010000207,,
ENSGALG00010000208,,
ENSGALG00010000209,,
ENSGALG00010000210,CCDC157,417010
ENSGALG00010000211,,
ENSGALG00010000212,,
ENSGALG00010000213,,
ENSGALG00010000214,,
ENSGALG00010000215,SF3A1,427717
ENSGALG00010000216,,
ENSGALG00010000217,,
ENSGALG00010000218,,
ENSGALG00010000219,,
ENSGALG00010000220,,121108680
ENSGALG00010000220,,112531415
ENSGALG00010000220,,107049648
ENSGALG00010000221,TBC1D10A,417011
ENSGALG00010000222,,
ENSGALG00010000223,CASTOR1,770898
ENSGALG00010000224,MYBPC2,425457
ENSGALG00010000225,LIF,427718
ENSGALG00010000226,,
ENSGALG00010000227,,121108678
ENSGALG00010000228,,
ENSGALG00010000229,,
ENSGALG00010000230,,107051217
ENSGALG00010000231,,107050652
ENSGALG00010000232,,112531206
ENSGALG00010000233,HORMAD2,417012
ENSGALG00010000234,,
ENSGALG00010000235,,
ENSGALG00010000236,,
ENSGALG00010000237,,
ENSGALG00010000238,,
ENSGALG00010000239,,100857579
ENSGALG00010000240,,
ENSGALG00010000241,,100857860
ENSGALG00010000242,,425238
ENSGALG00010000243,,
ENSGALG00010000244,,
ENSGALG00010000245,,
ENSGALG00010000246,,
ENSGALG00010000247,,417013
ENSGALG00010000248,,
ENSGALG00010000249,,121108845
ENSGALG00010000250,,121108839
ENSGALG00010000251,,
ENSGALG00010000252,,
ENSGALG00010000253,faf,
ENSGALG00010000254,,112531026
ENSGALG00010000255,,
ENSGALG00010000256,,121108662
ENSGALG00010000257,faf,
ENSGALG00010000258,,
ENSGALG00010000259,faf,
ENSGALG00010000260,faf,
ENSGALG00010000261,,
ENSGALG00010000262,HNRNPKL,426516
ENSGALG00010000263,MTMR3,417015
ENSGALG00010000264,gga-mir-7b,777883
ENSGALG00010000265,faf,
ENSGALG00010000266,,
ENSGALG00010000267,,121108913
ENSGALG00010000268,faf,
ENSGALG00010000269,,121108664
ENSGALG00010000270,,
ENSGALG00010000271,RTN4R,417001
ENSGALG00010000272,,112531323
ENSGALG00010000273,,
ENSGALG00010000274,,
ENSGALG00010000275,,
ENSGALG00010000276,,
ENSGALG00010000277,,112531104
ENSGALG00010000277,,112529946
ENSGALG00010000277,,107049514
ENSGALG00010000278,,
ENSGALG00010000279,,
ENSGALG00010000280,,
ENSGALG00010000281,OSBP2,417002
ENSGALG00010000282,,
ENSGALG00010000283,,100313497
ENSGALG00010000284,,
ENSGALG00010000285,MYLPF,776775
ENSGALG00010000286,TCN2,429737
ENSGALG00010000287,IQCD,417003
ENSGALG00010000288,VARS2,107049913
ENSGALG00010000289,QPRT,107051294
ENSGALG00010000290,,
ENSGALG00010000291,,
ENSGALG00010000292,ABHD16A,
ENSGALG00010000293,,107050135
ENSGALG00010000294,DUSP21,417005
ENSGALG00010000295,,
ENSGALG00010000296,,
ENSGALG00010000297,,
ENSGALG00010000298,SLC35E4,101751586
ENSGALG00010000299,,
ENSGALG00010000300,,
ENSGALG00010000301,UQCR10,770937
ENSGALG00010000302,,
ENSGALG00010000303,,770808
ENSGALG00010000304,,
ENSGALG00010000305,,
ENSGALG00010000306,,121108973
ENSGALG00010000307,ZMAT5,417017
ENSGALG00010000308,,
ENSGALG00010000309,,121108809
ENSGALG00010000310,,
ENSGALG00010000311,,
ENSGALG00010000312,CABP7,770960
ENSGALG00010000313,,
ENSGALG00010000314,,
ENSGALG00010000315,,
ENSGALG00010000316,,
ENSGALG00010000317,,
ENSGALG00010000318,,
ENSGALG00010000319,,
ENSGALG00010000320,,
ENSGALG00010000321,,
ENSGALG00010000322,,
ENSGALG00010000323,AP1B1,417021
ENSGALG00010000324,,100857850
ENSGALG00010000325,,
ENSGALG00010000326,,
ENSGALG00010000327,,
ENSGALG00010000328,,
ENSGALG00010000329,,
ENSGALG00010000330,,
ENSGALG00010000331,,
ENSGALG00010000332,,
ENSGALG00010000333,,
ENSGALG00010000334,,
ENSGALG00010000335,,
ENSGALG00010000336,faf,
ENSGALG00010000337,,121108737
ENSGALG00010000337,,121108736
ENSGALG00010000338,,121112559
ENSGALG00010000339,,
ENSGALG00010000340,NAA10,107049486
ENSGALG00010000341,EWSR1,417022
ENSGALG00010000342,,
ENSGALG00010000343,,
ENSGALG00010000344,,112531461
ENSGALG00010000345,,
ENSGALG00010000346,,100859084
ENSGALG00010000347,,
ENSGALG00010000348,,
ENSGALG00010000349,CHIR-IG1-5,425113
ENSGALG00010000350,,100857358
ENSGALG00010000351,,
ENSGALG00010000352,,
ENSGALG00010000353,,121108932
ENSGALG00010000354,,
ENSGALG00010000355,,
ENSGALG00010000356,,112533553
ENSGALG00010000357,,
ENSGALG00010000358,,
ENSGALG00010000359,,
ENSGALG00010000360,,
ENSGALG00010000361,,
ENSGALG00010000362,,121108657
ENSGALG00010000363,,
ENSGALG00010000364,,
ENSGALG00010000365,,
ENSGALG00010000366,EMID1,100859612
ENSGALG00010000367,HSD17B10,425758
ENSGALG00010000368,,
ENSGALG00010000369,,121108844
ENSGALG00010000370,,
ENSGALG00010000371,,
ENSGALG00010000372,,
ENSGALG00010000373,,
ENSGALG00010000374,,
ENSGALG00010000375,,
ENSGALG00010000376,ASCC2,417016
ENSGALG00010000377,,
ENSGALG00010000378,,
ENSGALG00010000379,,
ENSGALG00010000380,,
ENSGALG00010000381,,107051255
ENSGALG00010000382,,
ENSGALG00010000383,,
ENSGALG00010000384,,
ENSGALG00010000385,,
ENSGALG00010000386,,
ENSGALG00010000387,DTX1,770657
ENSGALG00010000388,,121108713
ENSGALG00010000389,,
ENSGALG00010000390,,
ENSGALG00010000391,,
ENSGALG00010000392,,
ENSGALG00010000393,,
ENSGALG00010000394,,
ENSGALG00010000395,,
ENSGALG00010000396,,
ENSGALG00010000397,,
ENSGALG00010000398,,
ENSGALG00010000399,,
ENSGALG00010000400,,
ENSGALG00010000401,,
ENSGALG00010000402,PFKFB1,415906
ENSGALG00010000403,,112531175
ENSGALG00010000404,RASAL1,771057
ENSGALG00010000405,,
ENSGALG00010000406,NSMCE3,100125831
ENSGALG00010000407,WSB2,417023
ENSGALG00010000408,,
ENSGALG00010000409,,
ENSGALG00010000410,,
ENSGALG00010000411,,121108648
ENSGALG00010000412,RFC5,100859719
ENSGALG00010000413,,
ENSGALG00010000414,,
ENSGALG00010000415,,
ENSGALG00010000416,,
ENSGALG00010000417,,
ENSGALG00010000418,,
ENSGALG00010000419,,
ENSGALG00010000420,,
ENSGALG00010000421,,
ENSGALG00010000422,ITIH6,430871
ENSGALG00010000423,,416998
ENSGALG00010000424,,
ENSGALG00010000425,,
ENSGALG00010000426,,
ENSGALG00010000427,,
ENSGALG00010000428,GNL3L,107049485
ENSGALG00010000429,,
ENSGALG00010000430,,
ENSGALG00010000431,AIFM3,416999
ENSGALG00010000432,,100859273
ENSGALG00010000433,,100858995
ENSGALG00010000434,TP53,396200
ENSGALG00010000435,P2RX6,429367
ENSGALG00010000436,,121108934
ENSGALG00010000437,,
ENSGALG00010000438,,
ENSGALG00010000439,,
ENSGALG00010000440,,427063
ENSGALG00010000441,SLC7A4,427062
ENSGALG00010000442,DGCR6,395907
ENSGALG00010000443,TBX3,374202
ENSGALG00010000444,RBM19,417029
ENSGALG00010000445,LHX5,771259
ENSGALG00010000446,,
ENSGALG00010000447,SDSL,417030
ENSGALG00010000448,,112531012
ENSGALG00010000449,PLBD2,417031
ENSGALG00010000450,,
ENSGALG00010000451,,
ENSGALG00010000452,SLC8B1,417032
ENSGALG00010000453,ACHE,
ENSGALG00010000454,,
ENSGALG00010000455,,
ENSGALG00010000456,,
ENSGALG00010000457,CATSPER4,417033
ENSGALG00010000458,,
ENSGALG00010000459,,
ENSGALG00010000460,,
ENSGALG00010000461,,
ENSGALG00010000462,,
ENSGALG00010000463,,
ENSGALG00010000464,,
ENSGALG00010000465,,112531156
ENSGALG00010000466,FBXO21,427722
ENSGALG00010000467,RNASEK,107051485
ENSGALG00010000468,TESC,771113
ENSGALG00010000469,,107049937
ENSGALG00010000470,FBXW8,417024
ENSGALG00010000471,,121108908
ENSGALG00010000472,,
ENSGALG00010000473,,
ENSGALG00010000474,,
ENSGALG00010000475,RNFT2,427723
ENSGALG00010000476,,107050559
ENSGALG00010000477,,
ENSGALG00010000478,,
ENSGALG00010000479,C12orf49,417026
ENSGALG00010000480,,
ENSGALG00010000481,,
ENSGALG00010000482,,121107999
ENSGALG00010000483,,107051159
ENSGALG00010000484,,
ENSGALG00010000485,MED13L,417027
ENSGALG00010000486,,
ENSGALG00010000487,,
ENSGALG00010000488,,
ENSGALG00010000489,,
ENSGALG00010000490,,
ENSGALG00010000491,,107051366
ENSGALG00010000492,,
ENSGALG00010000493,,
ENSGALG00010000494,,
ENSGALG00010000495,,
ENSGALG00010000496,,
ENSGALG00010000497,,
ENSGALG00010000498,,
ENSGALG00010000499,,
ENSGALG00010000500,,
ENSGALG00010000501,,107049850
ENSGALG00010000502,,121112058
ENSGALG00010000502,,771082
ENSGALG00010000503,,
ENSGALG00010000504,,
ENSGALG00010000505,,
ENSGALG00010000506,,
ENSGALG00010000507,TRPT1,107049849
ENSGALG00010000508,,
ENSGALG00010000509,,107055124
ENSGALG00010000510,,
ENSGALG00010000511,FERMT3,107051471
ENSGALG00010000512,,
ENSGALG00010000513,,
ENSGALG00010000514,,
ENSGALG00010000515,,
ENSGALG00010000516,,
ENSGALG00010000517,,
ENSGALG00010000518,,
ENSGALG00010000519,,
ENSGALG00010000520,,
ENSGALG00010000521,,
ENSGALG00010000522,,
ENSGALG00010000523,,
ENSGALG00010000524,,
ENSGALG00010000525,,
ENSGALG00010000526,POLD1,121108966
ENSGALG00010000527,,
ENSGALG00010000528,,
ENSGALG00010000529,STIP1,101748085
ENSGALG00010000530,,121108957
ENSGALG00010000530,,107049026
ENSGALG00010000531,,
ENSGALG00010000532,,770867
ENSGALG00010000533,,
ENSGALG00010000534,,
ENSGALG00010000535,,
ENSGALG00010000536,,
ENSGALG00010000537,,
ENSGALG00010000538,,
ENSGALG00010000539,,
ENSGALG00010000540,,
ENSGALG00010000541,,
ENSGALG00010000542,,
ENSGALG00010000543,,
ENSGALG00010000544,,
ENSGALG00010000545,,
ENSGALG00010000546,FLRT1,112530908
ENSGALG00010000547,,
ENSGALG00010000548,,
ENSGALG00010000549,,
ENSGALG00010000550,,
ENSGALG00010000551,,
ENSGALG00010000552,,
ENSGALG00010000553,,
ENSGALG00010000554,,
ENSGALG00010000555,OTUB1,777320
ENSGALG00010000556,,
ENSGALG00010000557,,
ENSGALG00010000558,,
ENSGALG00010000559,,
ENSGALG00010000560,,
ENSGALG00010000561,,775974
ENSGALG00010000562,,
ENSGALG00010000563,,
ENSGALG00010000564,NAA40,430563
ENSGALG00010000565,,
ENSGALG00010000566,,
ENSGALG00010000567,,
ENSGALG00010000568,,
ENSGALG00010000569,SIPA1,101749913
ENSGALG00010000570,,
ENSGALG00010000571,,101749079
ENSGALG00010000572,,
ENSGALG00010000573,SNORD125,112533527
ENSGALG00010000574,,101752154
ENSGALG00010000575,,101751363
ENSGALG00010000576,NOS1,427721
ENSGALG00010000577,,
ENSGALG00010000578,,112530946
ENSGALG00010000579,,
ENSGALG00010000580,,
ENSGALG00010000581,,100859276
ENSGALG00010000581,,425562
ENSGALG00010000582,,
ENSGALG00010000583,CCS,100858882
ENSGALG00010000584,RBM14,426080
ENSGALG00010000585,SPTBN2,101750255
ENSGALG00010000586,,
ENSGALG00010000587,,
ENSGALG00010000588,,
ENSGALG00010000589,,101751955
ENSGALG00010000590,DNAH5,420921
ENSGALG00010000591,SBK2,420929
ENSGALG00010000592,CCT5,420930
ENSGALG00010000593,ATPSCKMT,428500
